participant,Trials per task,Task,condition,Trials2correct,trialN,trial_ends,movement_codes,final_card_positions_1,final_card_position_codes_1,row_overall_correct_1,col_overall_correct_1,overall_correct,downTimes,upTimes,move_0,move_0_downTime,move_0_upTime,move_1,move_1_downTime,move_1_upTime,move_2,move_2_downTime,move_2_upTime,move_3,move_3_downTime,move_3_upTime,move_4,move_4_downTime,move_4_upTime,move_5,move_5_downTime,move_5_upTime,move_6,move_6_downTime,move_6_upTime,move_7,move_7_downTime,move_7_upTime,move_8,move_8_downTime,move_8_upTime,move_9,move_9_downTime,move_9_upTime,move_10,move_10_downTime,move_10_upTime,move_11,move_11_downTime,move_11_upTime,move_12,move_12_downTime,move_12_upTime,move_13,move_13_downTime,move_13_upTime,move_14,move_14_downTime,move_14_upTime,move_15,move_15_downTime,move_15_upTime,move_16,move_16_downTime,move_16_upTime,move_17,move_17_downTime,move_17_upTime,move_18,move_18_downTime,move_18_upTime,move_19,move_19_downTime,move_19_upTime,move_20,move_20_downTime,move_20_upTime,move_21,move_21_downTime,move_21_upTime,move_22,move_22_downTime,move_22_upTime,move_23,move_23_downTime,move_23_upTime,move_24,move_24_downTime,move_24_upTime,move_25,move_25_downTime,move_25_upTime,move_26,move_26_downTime,move_26_upTime,move_27,move_27_downTime,move_27_upTime,move_28,move_28_downTime,move_28_upTime,move_29,move_29_downTime,move_29_upTime,move_30,move_30_downTime,move_30_upTime,move_31,move_31_downTime,move_31_upTime,move_32,move_32_downTime,move_32_upTime,move_33,move_33_downTime,move_33_upTime,move_34,move_34_downTime,move_34_upTime,move_35,move_35_downTime,move_35_upTime,move_36,move_36_downTime,move_36_upTime,move_37,move_37_downTime,move_37_upTime,move_38,move_38_downTime,move_38_upTime,move_39,move_39_downTime,move_39_upTime,move_40,move_40_downTime,move_40_upTime,move_41,move_41_downTime,move_41_upTime,move_42,move_42_downTime,move_42_upTime,move_43,move_43_downTime,move_43_upTime,move_44,move_44_downTime,move_44_upTime,move_45,move_45_downTime,move_45_upTime,move_46,move_46_downTime,move_46_upTime,move_47,move_47_downTime,move_47_upTime,move_48,move_48_downTime,move_48_upTime,move_49,move_49_downTime,move_49_upTime,move_50,move_50_downTime,move_50_upTime
57,1,1,KQJB,1,0,submit,"['queen_spades_cA1', 'king_diamonds_cA2', 'jack_diamonds_cA3', 'queen_clubs_cC2', 'queen_diamonds_cB3', 'queen_hearts_cD4', 'jack_hearts_cB2', 'jack_hearts_cB2', 'king_hearts_cB1', 'king_hearts_cB1', 'king_clubs_cC4', 'king_spades_cD3', 'jack_clubs_cD1', 'jack_clubs_cD1', 'jack_clubs_cD1', 'jack_spades_cOff Grid', 'jack_spades_cOff Grid', 'jack_spades_cOff Grid', 'jack_spades_cOff Grid', 'queen_diamonds_cB3', 'jack_hearts_cB4', 'jack_spades_cB2', 'jack_spades_cB2', 'jack_spades_cB2', 'jack_spades_cB2', 'jack_spades_cB2', 'jack_spades_cB2', 'jack_spades_cB2', 'jack_spades_cB2', 'jack_spades_cC1', 'jack_clubs_cD2', 'jack_clubs_cE2', 'jack_clubs_cE2', 'jack_clubs_cD2', 'jack_clubs_cD2', 'jack_clubs_cD2', 'jack_clubs_cD2']","[""queen_spades_c"",""king_diamonds_c"",""jack_diamonds_c"",""blank4_c"",null,null,null,null,""king_hearts_c"",""blank3_c"",""queen_diamonds_c"",""jack_hearts_c"",null,null,null,null,""jack_spades_c"",""queen_clubs_c"",""blank_c"",""king_clubs_c"",null,null,null,null,""blank2_c"",""jack_clubs_c"",""king_spades_c"",""queen_hearts_c"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","['queen_spades_cA1', 'king_diamonds_cA2', 'jack_diamonds_cA3', 'blank4_cA4', 'king_hearts_cB1', 'blank3_cB2', 'queen_diamonds_cB3', 'jack_hearts_cB4', 'jack_spades_cC1', 'queen_clubs_cC2', 'blank_cC3', 'king_clubs_cC4', 'blank2_cD1', 'jack_clubs_cD2', 'king_spades_cD3', 'queen_hearts_cD4']",1,1,1,"[1.6370000000000005, 4.582000000000001, 6.472999999999999, 10.444000000000003, 17.933999999999997, 23.997, 29.872, 31.570999999999998, 34.852000000000004, 40.413, 49.965, 58.221000000000004, 62.053, 64.132, 71.57900000000001, 77.527, 86.83099999999999, 96.451, 97.196, 98.95999999999998, 105.78799999999998, 109.094, 112.19899999999998, 123.589, 123.80499999999998, 124.35899999999998, 125.744, 128.34099999999998, 128.80599999999998, 130.38899999999998, 135.063, 136.295, 137.01999999999998, 137.809, 139.327, 141.32, 144.28199999999998, 152.54199999999997]","[0.0030000000000001137, 3.1739999999999995, 5.515999999999998, 7.692999999999998, 11.756, 20.542, 26.248999999999995, 30.964, 32.614999999999995, 36.599000000000004, 41.408, 53.408, 60.638000000000005, 63.242999999999995, 65.193, 72.33200000000001, 86.26499999999999, 86.92999999999998, 96.57899999999998, 97.23399999999998, 99.02199999999999, 106.82199999999997, 110.34599999999998, 113.695, 123.725, 123.87199999999999, 125.15099999999998, 127.87199999999999, 128.482, 129.29299999999998, 134.524, 135.47899999999998, 136.66899999999998, 137.362, 138.33499999999998, 140.43499999999997, 141.939, 145.07999999999998]",queen_spades_cA1,1.637,0.003,king_diamonds_cA2,4.582,3.174,jack_diamonds_cA3,6.473,5.516,queen_clubs_cC2,10.444,7.693,queen_diamonds_cB3,17.934,11.756,queen_hearts_cD4,23.997,20.542,jack_hearts_cB2,29.872,26.249,jack_hearts_cB2,31.571,30.964,king_hearts_cB1,34.852,32.615,king_hearts_cB1,40.413,36.599,king_clubs_cC4,49.965,41.408,king_spades_cD3,58.221,53.408,jack_clubs_cD1,62.053,60.638,jack_clubs_cD1,64.132,63.243,jack_clubs_cD1,71.579,65.193,jack_spades_cOff Grid,77.527,72.332,jack_spades_cOff Grid,86.831,86.265,jack_spades_cOff Grid,96.451,86.93,jack_spades_cOff Grid,97.196,96.579,queen_diamonds_cB3,98.96,97.234,jack_hearts_cB4,105.788,99.022,jack_spades_cB2,109.094,106.822,jack_spades_cB2,112.199,110.346,jack_spades_cB2,123.589,113.695,jack_spades_cB2,123.805,123.725,jack_spades_cB2,124.359,123.872,jack_spades_cB2,125.744,125.151,jack_spades_cB2,128.341,127.872,jack_spades_cB2,128.806,128.482,jack_spades_cC1,130.389,129.293,jack_clubs_cD2,135.063,134.524,jack_clubs_cE2,136.295,135.479,jack_clubs_cE2,137.02,136.669,jack_clubs_cD2,137.809,137.362,jack_clubs_cD2,139.327,138.335,jack_clubs_cD2,141.32,140.435,jack_clubs_cD2,144.282,141.939, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58,,1,KQ,0,0,submit,"['queen_spades_aA2', 'queen_clubs_aB2', 'queen_diamonds_aC2', 'king_diamonds_aA3', 'king_hearts_aB3', 'king_clubs_aC3', 'king_hearts_aB5', 'queen_clubs_aB3', 'king_clubs_aOff Grid', 'king_clubs_aC5', 'queen_diamonds_aC4', 'king_clubs_aC6']","[null,""queen_spades_a"",""king_diamonds_a"",null,null,null,null,null,null,null,""queen_clubs_a"",null,""king_hearts_a"",null,null,null,null,null,null,""queen_diamonds_a"",null,""king_clubs_a"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","['queen_spades_aA2', 'king_diamonds_aA3', 'queen_clubs_aB3', 'king_hearts_aB5', 'queen_diamonds_aC4', 'king_clubs_aC6']",1,0,0,"[2.098100000023841, 4.198300000011919, 5.856600000023846, 7.76610000002384, 9.666600000023841, 11.5, 23.0175, 24.417, 25.816499999999998, 27.216900000005957, 28.895100000023838, 32.76870000001787, 38.568600000023835]","[0.003300000011918769, 3.142700000017882, 4.949700000017884, 7.031200000017883, 8.814300000011919, 10.761100000023845, 12.521600000023845, 23.902800000011922, 25.033100000023843, 26.848600000023843, 28.316900000005965, 29.92649999999999, 33.63640000000595]",queen_spades_aA2,2.0981,0.0033,queen_clubs_aB2,4.1983,3.1427,queen_diamonds_aC2,5.8566,4.9497,king_diamonds_aA3,7.7661,7.0312,king_hearts_aB3,9.6666,8.8143,king_clubs_aC3,11.5,10.7611,king_hearts_aB5,23.0175,12.5216,queen_clubs_aB3,24.417,23.9028,king_clubs_aOff Grid,25.8165,25.0331,king_clubs_aC5,27.2169,26.8486,queen_diamonds_aC4,28.8951,28.3169,king_clubs_aC6,32.7687,29.9265, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58,,1,KQ,0,1,reset,[],"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",[],1,1,0,"[1.040900000005962, 14.76419999998808, 15.376799999982126]","[1.158199999988085, 14.839199999988082]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58,,1,KQ,0,2,submit,"['queen_spades_aA2', 'queen_clubs_aA4', 'queen_diamonds_aA6', 'queen_clubs_aB4', 'queen_diamonds_aD6', 'queen_clubs_aC4', 'queen_clubs_aC4', 'queen_clubs_aC4', 'queen_clubs_aC4', 'queen_clubs_aC4', 'king_diamonds_aA4', 'king_hearts_aD2', 'king_clubs_aF6', 'king_hearts_aC2', 'king_clubs_aD3', 'queen_diamonds_aD6', 'queen_clubs_aC6', 'queen_diamonds_aOff Grid', 'king_clubs_aD6', 'queen_diamonds_aD3', 'queen_diamonds_aD4']","[null,""queen_spades_a"",null,""king_diamonds_a"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,""queen_clubs_a"",null,null,null,null,null,""queen_diamonds_a"",null,""king_clubs_a"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","['queen_spades_aA2', 'king_diamonds_aA4', 'queen_clubs_aC6', 'queen_diamonds_aD4', 'king_clubs_aD6']",0,0,0,"[0.9446999999880887, 2.724400000005957, 6.907599999994048, 10.05850000000001, 12.358199999988088, 14.807500000000005, 16.943099999994047, 28.86200000000001, 29.87780000001193, 30.346699999988076, 32.109599999994046, 35.25840000000595, 40.06790000000596, 44.32700000000001, 46.16140000000597, 50.79519999998807, 56.1965, 58.49530000001194, 60.44009999999405, 62.11319999998808, 63.87840000000595, 67.5965]","[0.009300000011918996, 1.7743000000119196, 3.7588000000119166, 8.075000000000003, 11.620400000005958, 13.442000000000007, 15.823999999999998, 17.07669999998808, 28.993300000011928, 30.02890000000596, 30.44190000000596, 34.04290000000596, 39.14690000000597, 42.36419999998809, 45.078699999988075, 47.11109999999404, 53.16219999998809, 57.090800000011924, 59.93209999999404, 61.39740000000596, 63.16980000001193, 64.51209999999405]",queen_spades_aA2,0.9447,0.0093,queen_clubs_aA4,2.7244,1.7743,queen_diamonds_aA6,6.9076,3.7588,queen_clubs_aB4,10.0585,8.075,queen_diamonds_aD6,12.3582,11.6204,queen_clubs_aC4,14.8075,13.442,queen_clubs_aC4,16.9431,15.824,queen_clubs_aC4,28.862,17.0767,queen_clubs_aC4,29.8778,28.9933,queen_clubs_aC4,30.3467,30.0289,king_diamonds_aA4,32.1096,30.4419,king_hearts_aD2,35.2584,34.0429,king_clubs_aF6,40.0679,39.1469,king_hearts_aC2,44.327,42.3642,king_clubs_aD3,46.1614,45.0787,queen_diamonds_aD6,50.7952,47.1111,queen_clubs_aC6,56.1965,53.1622,queen_diamonds_aOff Grid,58.4953,57.0908,king_clubs_aD6,60.4401,59.9321,queen_diamonds_aD3,62.1132,61.3974,queen_diamonds_aD4,63.8784,63.1698, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58,4,1,KQ,4,3,submit,"['queen_spades_aA2', 'king_diamonds_aC2', 'queen_clubs_aA4', 'king_hearts_aD4', 'queen_diamonds_aC6', 'king_clubs_aB6', 'queen_clubs_aD6', 'king_clubs_aA4', 'queen_diamonds_aA5', 'king_clubs_aC6', 'queen_diamonds_aC6', 'queen_clubs_aD5', 'king_clubs_aA5', 'king_hearts_aD6', 'queen_spades_aA3', 'king_diamonds_aC3']","[null,null,""queen_spades_a"",null,""king_clubs_a"",null,null,null,null,null,null,null,null,null,null,null,null,null,""king_diamonds_a"",null,null,""queen_diamonds_a"",null,null,null,null,null,null,""queen_clubs_a"",""king_hearts_a"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","['queen_spades_aA3', 'king_clubs_aA5', 'king_diamonds_aC3', 'queen_diamonds_aC6', 'queen_clubs_aD5', 'king_hearts_aD6']",1,1,1,"[1.0680999999940468, 2.814800000011928, 5.581900000005959, 7.565200000017882, 9.316300000011921, 11.34990000000596, 14.948200000017891, 16.333099999994033, 18.917400000005955, 19.966300000011927, 23.285300000011915, 25.632000000000005, 27.332900000005964, 30.383700000017882, 34.8845, 36.334, 38.85209999999404]","[0.03200000000001069, 1.8977000000178919, 4.733900000005974, 6.565599999994049, 8.571400000005951, 10.736800000011925, 14.501000000000005, 15.833300000011917, 17.414900000005957, 19.451300000011912, 21.89020000001787, 25.135400000005973, 26.536400000005955, 28.251300000011923, 31.396500000000003, 35.73609999999405, 37.036400000005955]",queen_spades_aA2,1.0681,0.032,king_diamonds_aC2,2.8148,1.8977,queen_clubs_aA4,5.5819,4.7339,king_hearts_aD4,7.5652,6.5656,queen_diamonds_aC6,9.3163,8.5714,king_clubs_aB6,11.3499,10.7368,queen_clubs_aD6,14.9482,14.501,king_clubs_aA4,16.3331,15.8333,queen_diamonds_aA5,18.9174,17.4149,king_clubs_aC6,19.9663,19.4513,queen_diamonds_aC6,23.2853,21.8902,queen_clubs_aD5,25.632,25.1354,king_clubs_aA5,27.3329,26.5364,king_hearts_aD6,30.3837,28.2513,queen_spades_aA3,34.8845,31.3965,king_diamonds_aC3,36.334,35.7361, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
59,1,1,KQB,1,0,submit,"['queen_spades_bA1', 'queen_clubs_bC3', 'queen_clubs_bC3', 'queen_clubs_bC3', 'queen_clubs_bC3', 'queen_clubs_bC3', 'queen_clubs_bC3', 'queen_clubs_bC3', 'queen_clubs_bC4', 'king_diamonds_bC1', 'queen_diamonds_bE6', 'king_hearts_bOff Grid', 'king_hearts_bOff Grid', 'king_clubs_bE4']","[""queen_spades_b"",null,null,null,null,""king_hearts_b"",null,null,null,null,null,null,null,null,null,null,""king_diamonds_b"",null,null,""queen_clubs_b"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,""king_clubs_b"",null,""queen_diamonds_b"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","['queen_spades_bA1', 'king_hearts_bA6', 'king_diamonds_bC1', 'queen_clubs_bC4', 'king_clubs_bE4', 'queen_diamonds_bE6']",1,1,1,"[1.6789000000953536, 4.186300000190727, 7.669400000095351, 8.547900000095353, 29.99790000009537, 30.664699999809272, 31.44790000009536, 32.361999999999995, 36.38469999980927, 40.44740000009537, 43.71019999980925, 46.01459999990462, 48.72319999980925, 58.33619999980925, 65.28390000009537]","[0.0010000000000047748, 3.116199999809254, 6.690199999809266, 7.670199999809256, 8.702900000095354, 30.127900000095366, 30.807400000095356, 31.594499999999982, 32.813500000000005, 38.6165, 42.49590000009536, 45.134300000190734, 48.13059999990463, 57.048, 59.11730000019074]",queen_spades_bA1,1.6789,0.001,queen_clubs_bC3,4.1863,3.1162,queen_clubs_bC3,7.6694,6.6902,queen_clubs_bC3,8.5479,7.6702,queen_clubs_bC3,29.9979,8.7029,queen_clubs_bC3,30.6647,30.1279,queen_clubs_bC3,31.4479,30.8074,queen_clubs_bC3,32.362,31.5945,queen_clubs_bC4,36.3847,32.8135,king_diamonds_bC1,40.4474,38.6165,queen_diamonds_bE6,43.7102,42.4959,king_hearts_bOff Grid,46.0146,45.1343,king_hearts_bOff Grid,48.7232,48.1306,king_clubs_bE4,58.3362,57.048, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60,,1,KQJ,0,0,submit,"['queen_spades_dA1', 'king_diamonds_dB1', 'king_diamonds_dB1', 'jack_diamonds_dC1', 'queen_clubs_dB3', 'king_hearts_dA6', 'jack_hearts_dA3', 'king_clubs_dC3', 'queen_diamonds_dC5', 'queen_diamonds_dC6', 'jack_clubs_dB6', 'king_diamonds_dE1', 'king_spades_dB2', 'jack_spades_dE4', 'queen_hearts_dE6']","[""queen_spades_d"",null,""jack_hearts_d"",null,null,""king_hearts_d"",null,null,null,""king_spades_d"",""queen_clubs_d"",null,null,""jack_clubs_d"",null,null,""jack_diamonds_d"",null,""king_clubs_d"",null,null,""queen_diamonds_d"",null,null,null,null,null,null,null,null,null,null,""king_diamonds_d"",null,null,""jack_spades_d"",null,null,""queen_hearts_d"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","['queen_spades_dA1', 'jack_hearts_dA3', 'king_hearts_dA6', 'king_spades_dB2', 'queen_clubs_dB3', 'jack_clubs_dB6', 'jack_diamonds_dC1', 'king_clubs_dC3', 'queen_diamonds_dC6', 'king_diamonds_dE1', 'jack_spades_dE4', 'queen_hearts_dE7']",1,0,0,"[2.8905999999940377, 7.47529999999702, 12.787499999999994, 25.757599999994035, 29.188999999999986, 32.47229999999701, 36.15440000000596, 40.97890000000596, 44.19420000000297, 45.576700000002965, 51.60999999999999, 62.29890000000595, 66.24890000000596, 71.065, 74.01520000000298, 79.22659999999402]","[0.0012000000029743774, 5.113599999994037, 11.470700000002978, 12.954599999994038, 27.572599999994033, 30.622299999997004, 34.237200000002964, 39.453499999999984, 42.697499999999984, 45.094700000002966, 46.86140000000595, 53.541799999997004, 64.21609999999404, 67.56459999999402, 72.76509999999402, 75.59340000000594]",queen_spades_dA1,2.8906,0.0012,king_diamonds_dB1,7.4753,5.1136,king_diamonds_dB1,12.7875,11.4707,jack_diamonds_dC1,25.7576,12.9546,queen_clubs_dB3,29.189,27.5726,king_hearts_dA6,32.4723,30.6223,jack_hearts_dA3,36.1544,34.2372,king_clubs_dC3,40.9789,39.4535,queen_diamonds_dC5,44.1942,42.6975,queen_diamonds_dC6,45.5767,45.0947,jack_clubs_dB6,51.61,46.8614,king_diamonds_dE1,62.2989,53.5418,king_spades_dB2,66.2489,64.2161,jack_spades_dE4,71.065,67.5646,queen_hearts_dE6,74.0152,72.7651, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60,,1,KQJ,0,1,submit,"['queen_spades_dA1', 'king_diamonds_dA4', 'jack_diamonds_dA7', 'queen_diamonds_dB2', 'king_clubs_dOff Grid', 'queen_diamonds_dB3', 'jack_hearts_dB2', 'queen_clubs_dE2', 'king_hearts_dE5', 'jack_clubs_dE7', 'queen_hearts_dOff Grid', 'queen_hearts_dF4', 'king_spades_dG3', 'jack_spades_dF5']","[""queen_spades_d"",null,null,""king_diamonds_d"",null,null,null,""jack_diamonds_d"",null,""jack_hearts_d"",""queen_diamonds_d"",null,null,""king_clubs_d"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,""queen_clubs_d"",null,null,""king_hearts_d"",null,""jack_clubs_d"",null,null,null,null,null,null,null,null,null,null,null,""king_spades_d"",""queen_hearts_d"",""jack_spades_d"",null,null,null,null,null,null,null,null,null,null,null]","['queen_spades_dA1', 'king_diamonds_dA4', 'jack_diamonds_dA8', 'jack_hearts_dB2', 'queen_diamonds_dB3', 'king_clubs_dB6', 'queen_clubs_dE2', 'king_hearts_dE5', 'jack_clubs_dE7', 'king_spades_dG3', 'queen_hearts_dG4', 'jack_spades_dG5']",1,0,0,"[1.9111000000089575, 5.241799999997028, 8.620700000002984, 11.950500000000005, 15.76560000000896, 19.74420000000299, 25.693000000000012, 29.540600000008936, 34.39240000000598, 36.889299999997036, 39.388900000005975, 42.034600000008936, 45.32929999999703, 48.22770000000298, 50.043000000000006]","[3.0740000000000123, 7.041900000005967, 9.717200000002975, 14.100900000005964, 18.961799999997027, 20.943299999997038, 26.809700000002977, 33.03829999999704, 35.88810000000893, 38.156100000008934, 39.49810000000895, 44.11150000000001, 47.029700000002975, 49.15100000000001]",queen_spades_dA1,1.9111,3.074,king_diamonds_dA4,5.2418,7.0419,jack_diamonds_dA7,8.6207,9.7172,queen_diamonds_dB2,11.9505,14.1009,king_clubs_dOff Grid,15.7656,18.9618,queen_diamonds_dB3,19.7442,20.9433,jack_hearts_dB2,25.693,26.8097,queen_clubs_dE2,29.5406,33.0383,king_hearts_dE5,34.3924,35.8881,jack_clubs_dE7,36.8893,38.1561,queen_hearts_dOff Grid,39.3889,39.4981,queen_hearts_dF4,42.0346,44.1115,king_spades_dG3,45.3293,47.0297,jack_spades_dF5,48.2277,49.151, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60,,1,KQJ,0,2,submit,"['queen_spades_dA1', 'queen_clubs_dB2', 'queen_diamonds_dC3', 'queen_hearts_dD4', 'king_diamonds_dA2', 'king_hearts_dB3', 'king_clubs_dC4', 'king_spades_dD5', 'jack_diamonds_dB3', 'jack_hearts_dB4', 'jack_diamonds_dA3', 'jack_clubs_dC5', 'jack_spades_dD6']","[""queen_spades_d"",""king_diamonds_d"",""jack_diamonds_d"",null,null,null,null,null,null,""queen_clubs_d"",""king_hearts_d"",""jack_hearts_d"",null,null,null,null,null,null,""queen_diamonds_d"",""king_clubs_d"",""jack_clubs_d"",null,null,null,null,null,null,""queen_hearts_d"",""king_spades_d"",""jack_spades_d"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","['queen_spades_dA1', 'king_diamonds_dA2', 'jack_diamonds_dA3', 'queen_clubs_dB2', 'king_hearts_dB3', 'jack_hearts_dB4', 'queen_diamonds_dC3', 'king_clubs_dC4', 'jack_clubs_dC5', 'queen_hearts_dD4', 'king_spades_dD5', 'jack_spades_dD6']",1,0,0,"[3.27800000000002, 8.377700000002989, 11.004299999997016, 12.938099999994051, 15.502799999997023, 17.73620000000298, 19.70329999999703, 21.93189999999106, 24.23259999999405, 26.600799999997037, 29.11359999999405, 31.37339999999108, 34.339899999991076, 36.85429999999704]","[4.632899999991054, 9.88900000000001, 11.904799999997039, 14.520599999994062, 16.87170000000299, 18.719799999997036, 20.933700000003, 23.1995, 25.334399999991064, 28.364799999997018, 30.19789999999108, 32.631799999997014, 35.63809999999404]",queen_spades_dA1,3.278,4.6329,queen_clubs_dB2,8.3777,9.889,queen_diamonds_dC3,11.0043,11.9048,queen_hearts_dD4,12.9381,14.5206,king_diamonds_dA2,15.5028,16.8717,king_hearts_dB3,17.7362,18.7198,king_clubs_dC4,19.7033,20.9337,king_spades_dD5,21.9319,23.1995,jack_diamonds_dB3,24.2326,25.3344,jack_hearts_dB4,26.6008,28.3648,jack_diamonds_dA3,29.1136,30.1979,jack_clubs_dC5,31.3734,32.6318,jack_spades_dD6,34.3399,35.6381, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60,,1,KQJ,0,3,submit,"['queen_spades_dB3', 'king_diamonds_dB4', 'jack_diamonds_dB5', 'king_hearts_dC3', 'jack_hearts_dC4', 'queen_clubs_dC3', 'king_hearts_dC5', 'queen_diamonds_dD4', 'queen_diamonds_dD4', 'queen_clubs_dD5', 'king_hearts_dC3', 'queen_clubs_dC5', 'king_clubs_dD5', 'jack_clubs_dD3']","[null,null,null,null,null,null,null,null,null,null,""queen_spades_d"",""king_diamonds_d"",""jack_diamonds_d"",null,null,null,null,null,""king_hearts_d"",""jack_hearts_d"",""queen_clubs_d"",null,null,null,null,null,""jack_clubs_d"",""queen_diamonds_d"",""king_clubs_d"",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","['queen_spades_dB3', 'king_diamonds_dB4', 'jack_diamonds_dB5', 'king_hearts_dC3', 'jack_hearts_dC4', 'queen_clubs_dC5', 'jack_clubs_dD3', 'queen_diamonds_dD4', 'king_clubs_dD5']",1,1,0,"[3.770200000003001, 5.901799999997024, 8.382500000000022, 11.04779999999704, 13.294399999991072, 15.34450000000001, 17.42659999999404, 35.49879999999703, 38.51329999999703, 40.593500000000034, 41.96150000000003, 43.56489999999107, 46.24129999999704, 48.43950000000004, 59.23100000000002]","[4.768799999997043, 7.218500000000006, 9.501700000002984, 12.229599999994065, 14.427700000003, 16.178399999991058, 18.430000000000007, 36.663099999994046, 38.69770000000298, 41.41379999999705, 42.828, 44.74620000000297, 47.375099999994035, 49.59029999999703]",queen_spades_dB3,3.7702,4.7688,king_diamonds_dB4,5.9018,7.2185,jack_diamonds_dB5,8.3825,9.5017,king_hearts_dC3,11.0478,12.2296,jack_hearts_dC4,13.2944,14.4277,queen_clubs_dC3,15.3445,16.1784,king_hearts_dC5,17.4266,18.43,queen_diamonds_dD4,35.4988,36.6631,queen_diamonds_dD4,38.5133,38.6977,queen_clubs_dD5,40.5935,41.4138,king_hearts_dC3,41.9615,42.828,queen_clubs_dC5,43.5649,44.7462,king_clubs_dD5,46.2413,47.3751,jack_clubs_dD3,48.4395,49.5903, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
